日/星期,時間,交易對,盈虧比,TP/SL,收益,方向,檢討,時間框架,到達TP/SL
11/8(五),11:48(亞),XAUUSD,1.4,SL,-1.16,多,保持耐心 K棒並未完全確定入場條件,1m/day,3m
11/8(五),14:32(亞),USDJPY,1.64,TP,0.54,空,好的進場 拿掉高點後突破結構  並對訂單塊有不錯反應,1m/day,10m
11/8(五),23:46(美),USDCAD,1.68,SL,-0.16,空,不要在流動性附近預測突破結構 耐心等待市場答案,1m/day,8m
11/11(一),18:50(歐),GBPUSD,1.61,TS,0.63,空,好的進場 但不要提早結算 相信移動止損 不然容易錯過TP機會,1m/15m/day,6m
11/11(一),19:45(歐),XAUUSD,2.69,TP,5.2,空,好的進場 確定尊重FVG後入場,5m/15m,20m
11/12(二),11:56(亞),USDJPY,19.85,SL,-0.38,多,用1min進場就要用1min設盈虧 15min僅是大時間偏見,1min/15min,4m
11/12(二),22:15(歐),USDCAD,2.62,SL,-0.2,空,日內偏見與15m趨勢不同 但是是好的入場,1m/15m/day,1m
11/13(三),22:24(美),XAUUSD,1.55,SL,-1.68,多,15m並未完全拿掉低點 無法準確預測走勢 交易前時保持注意,1m/15m/day,4m
11/14(四),14:47(亞),NZDUSD,2,TP,0.2,空,好的進場 有在盯盤可以把止盈拉遠 並用移動止損放大獲利,1m/15m/day,3m
11/15(五),16:37(歐),AUDUSD,1.95,SL,-0.63,空,沒有第二次入場訊號 耐心等待,1m/15m/day,1m
11/15(五),16:48(歐),AUDUSD,1.87,SL,-0.6,空,須至少兩根K棒確定反轉訊號 上影線要盡量觸碰多一點,1m/15m/day,11m
11/15(五),17:36(歐),GBPUSD,3,TP,3.69,空,好的交易 配合移動止損慢慢獲利,1m/15m/day,26m
11/30(五),2:28(美),XAUUSD,2.54,SL,-3.15,多,需再保持耐心 至少等15mFVG填完一半 不然都還有機會繼續填補,1m/15m/day,1m
12/2(一),13:03(亞),USDJPY,2.71,TS,2.23,多,完美的一次交易 但系統的只盈沒觸發,1m/15m/day,20m
12/3(二),20:05(歐),XAUUSD,2.06,TS,1.08,多,好的進場 逐漸找到波動節奏 需考慮未被拿掉的流動性 重新進場或平倉,1m/15m/day,5m
12/10(二),11:49(亞),XAUUSD,2.28,TP,10.38,多,好的交易 在計算進場仍需仔細 心態上要保持平靜 不要被獲利吞噬,1m/15m/day,13m
12/11(三),11:03(亞),AUDUSD,3.33,SL,-1.1,空,好的交易 有紀律的進場 ,1m/15m/day,2m
12/19(四),20:48(歐),EURUAD,3.77,TS,-1.3,多,流動性的觀察需更加謹慎 一個上流動性配下流動性,1m/15m/day,5m
1/14(二),20:55(歐),XAUUSD,3.97/3.63,SL/SL,-6.79,空/空,依照進場邏輯 止損需再避開流動性 慢慢找盤感,1m/15m/day,3m
2/4(二),13:56(亞),XAUUSD,1.9,TP,0.91,空,找手感和系統 小倉試手,1m/15m/4h,16m
2/6(三),1:30(美),XAUUSD,3.49,SL,-0.76,多,按照系統進場 但移動止損需在上一個流動性以下,1m/15m/day,12m
3/3(一),23:41(美),XAUUSD,2,TP,5.6,多,重新開始 不要忘了目標是蒐集樣本 保持好心態繼續前進,1m/15m/day,64m
3/5(三),23:20(美),XAUUSD,2,TS,1.93,多,好交易 根據系統操作 持續保持,1m/15m/day,22m
3/25(二),11:04(亞),XAUUSD,2.34,SL,-1.41,空,按照策略 持續回測,1m/15m/day,1m
4/1(二),11:50(亞),USDJPY,2,SL,-0.63,多,按照策略 但在風險上要在管理更好,1m/15m/day,1m
4/7(一),17:04(亞),XAUUSD,2,SL,-5.23,多,觀察流動性須看前一波趨勢 ,1m/15m/day,3m
4/15(二),12:25(亞),XAUUSD,1.65,TP,3.17,多,如有二次機會可進場 但須風控 需要計算固定風險 不然難以獲利,1m/15m/day,28m
4/15(二),22:55(美),XAUUSD,2.13,SL,-4.34,多,需再更專注於市場 否則錯過進場止損會太遠,1m/15m/day,7m
4/17(四),15:29(亞),USDJPY,2,TS,1.31,多,入場位失敗 沒有按照計畫進場 平倉重新來過,1m/15m/day,1m
4/17(四),15:46(亞),USDJPY,2.25,TP,13.88,多,有按照計畫和風險(損5-6u) 目前最好的交易 心態保持不波瀾,1m/15m/day,32m
4/24(四),13:23(亞),USDJPY,2.34,SL,-9.18,多,依照進場邏輯 好的交易 但注意動能需插針,1m/15m/day,4m
5/10(五),13:36(亞),USDJPY,3.54,TP,16.31,空,好的交易 風控確實 止損不心慌先學會盈利不驕傲,5m/15m/4h,1h32m
5/12(一),14:30(亞),USDJPY,2.21,SL,-3.82,多,按照系統 累積樣本 大趨勢方向看錯 基本面反向,1m/15m/day,12m
5/21(三),16:57(歐),XAUUSD,2.38,TS,5.88,多,按照系統進場 但心態還須持續精進,1m/15m/day,1h46m
5/26(一),14:08(亞),USDJPY,2.03,SL,-7.98,空,有按照策略 但進場前一定要專注在盤中 不要進場才確認,1m/15m/day,8m
5/29(四),12:57(亞),XAUUSD,2.39,SL,-7.5,空,流動性止損還要謹慎 策略沒有扎實,1m/15m/day,16m
7/14(一),19:37(歐),XAUUSD,7,SL,-3.8,多,有按照策略進場 邏輯正確,1m/15m/day,12m
